productsCount,orderPrice,buyer,buyerCity,orderStatus,shippingPrice,orderDate,orderTime,type,buyerSatisfaction
1,4.99,Marius Marius,Raseiniai,patvirtintas,2.99,2021-05-18,12:41,internetu,3
1,14.99,Aurimas Aurimaitė,Šilutė,pristatytas,9.99,2014-11-11,11:36,parduotuvėje,4
1,9.99,Aldona Aldonaitė,Kupiškis,pristatytas,2.99,2019-04-15,14:33,internetu,1
2,59.98,Aurimas Aurimaitė,Zarasai,pristatytas,9.99,2018-02-27,9:53,internetu,5
2,22.98,Bronius Bronius,Zarasai,pristatytas,2.99,2017-08-15,14:4,internetu,5
2,44.98,Gintautas Gintautas,Raseiniai,pristatytas,4.99,2017-10-20,13:18,internetu,5
2,64.98,Aldona Aldonaitė,Ignalina,išsiųstas,0.00,2022-12-13,15:32,internetu,5
1,9.99,Aldona Aldonaitė,Jonava,pristatytas,4.99,2018-12-28,10:34,internetu,4
2,14.98,Asta Astaitė,Grigiškės,pristatytas,4.99,2017-07-02,12:32,internetu,5
4,53.96,Giedrė Giedrytė,Mažeikiai,pristatytas,2.99,2015-12-29,8:59,parduotuvėje,3
4,44.96,Vitalijus Vitkus,Kaišiadorys,pristatytas,4.99,2020-12-31,15:10,internetu,5
3,34.97,Marius Marius,Mažeikiai,pristatytas,2.99,2021-07-30,9:56,parduotuvėje,4
1,9.99,Vitalijus Vitkus,Plungė,pristatytas,9.99,2020-09-10,14:38,parduotuvėje,3
5,79.95,Aurimas Aurimaitė,Elektrėnai,patvirtintas,9.99,2019-07-17,13:26,internetu,2
9,94.91,Marius Marius,Klaipėda,pristatytas,2.99,2014-12-19,10:23,internetu,3
4,82.96,Rita Ritaitė,Kėdainiai,pristatytas,2.99,2018-06-11,8:27,internetu,5
3,45.97,Petras Petraitis,Kretinga,naujas,2.99,2015-05-20,12:19,parduotuvėje,5
1,9.99,Jolanta Jolantaitė,Šilutė,pristatytas,2.99,2015-08-03,10:12,parduotuvėje,5
2,12.98,Aurimas Aurimaitė,Šalčininkai,pristatytas,19.99,2015-06-23,10:49,internetu,3
4,29.96,Marius Marius,Kretinga,naujas,0.00,2019-11-23,13:53,internetu,4
5,100.95,Rasa Rasaitė,Kalvarija,naujas,19.99,2018-03-02,15:30,internetu,5
4,71.96,Gintarė Gintarytė,Zarasai,atšauktas,2.99,2022-11-10,9:53,internetu,2
1,14.99,Jolanta Jolantaitė,Kaišiadorys,pristatytas,19.99,2021-05-08,15:7,parduotuvėje,5
3,27.97,Gintarė Gintarytė,Širvintos,pristatytas,4.99,2015-08-09,9:18,internetu,4
1,4.99,Viktorija Viktorienė,Kazlų Rūda,pristatytas,19.99,2023-08-11,9:8,parduotuvėje,2
2,15.98,Jurgis Jurgis,Jonava,pristatytas,2.99,2018-10-10,13:7,parduotuvėje,2
3,44.97,Rasa Rasaitė,Kalvarija,pristatytas,2.99,2023-11-29,8:31,internetu,4
3,30.97,Aurimas Aurimaitė,Varėna,pristatytas,9.99,2015-06-19,10:36,internetu,3
2,34.98,Vitalijus Vitkus,Kazlų Rūda,patvirtintas,2.99,2017-01-18,14:52,internetu,1
5,124.95,Aidas Aidaitis,Kaišiadorys,išsiųstas,4.99,2016-07-10,12:26,internetu,4
2,12.98,Ona Onaitė,Kaišiadorys,pristatytas,2.99,2024-05-23,8:50,internetu,5
1,49.99,Marius Marius,Šilutė,pristatytas,19.99,2015-01-03,13:20,internetu,2
4,33.96,Gintarė Gintarytė,Mažeikiai,atšauktas,2.99,2020-04-20,13:40,parduotuvėje,4
5,104.95,Gintaras Gintaraitis,Kėdainiai,pristatytas,2.99,2015-01-09,11:46,internetu,5
2,35.98,Ona Onaitė,Šilutė,pristatytas,0.00,2015-06-08,9:4,internetu,4
4,82.96,Gintarė Gintarytė,Šilutė,atšauktas,9.99,2018-05-01,11:15,parduotuvėje,4
2,55.98,Jonas Jonaitis,Kaišiadorys,pristatytas,4.99,2023-07-01,12:51,internetu,4
4,35.96,Jolanta Jolantaitė,Biržai,išsiųstas,2.99,2016-03-18,14:26,internetu,4
3,69.97,Vilma Vilmaitė,Anykščiai,išsiųstas,2.99,2023-02-19,14:7,parduotuvėje,5
4,94.96,Bronius Bronius,Kaišiadorys,patvirtintas,2.99,2023-01-17,11:39,internetu,4
5,33.95,Vitalijus Vitkus,Mažeikiai,pristatytas,19.99,2019-07-09,14:21,parduotuvėje,2
4,37.96,Jurgis Jurgis,Ukmergė,pristatytas,2.99,2020-05-05,13:49,internetu,5
5,67.95,Petras Petraitis,Zarasai,pristatytas,0.00,2019-09-18,15:18,parduotuvėje,5
5,134.95,Vaida Vaidaitė,Kaunas,pristatytas,0.00,2018-06-19,12:25,parduotuvėje,5
1,7.99,Inga Ingaitė,Ignalina,pristatytas,2.99,2018-12-09,9:39,internetu,4
4,87.96,Giedrius Giedraitis,Telšiai,pristatytas,2.99,2021-06-08,10:45,internetu,4
1,14.99,Dalia Dalinskaitė,Rokiškis,pristatytas,2.99,2024-05-24,11:9,parduotuvėje,2
3,27.97,Laima Laimaitė,Šilutė,pristatytas,2.99,2016-08-18,12:3,parduotuvėje,1
5,74.95,Rita Ritaitė,Panevėžys,pristatytas,0.00,2016-12-20,14:2,parduotuvėje,5
1,29.99,Rasa Rasaitė,Trakai,patvirtintas,19.99,2016-09-15,8:36,parduotuvėje,5
1,5.99,Rimantas Rimantėlis,Panevėžys,pristatytas,2.99,2015-04-05,10:2,parduotuvėje,4
1,14.99,Marius Marius,Švenčionys,pristatytas,2.99,2023-11-02,14:52,parduotuvėje,5
1,49.99,Inga Ingaitė,Kalvarija,pristatytas,2.99,2017-03-24,11:29,internetu,2
3,23.97,Vaidas Vaidas,Anykščiai,pristatytas,2.99,2020-01-07,15:9,internetu,5
1,5.99,Gintarė Gintarytė,Kėdainiai,pristatytas,19.99,2022-08-11,14:50,internetu,5
3,63.97,Ona Onaitė,Joniškis,pristatytas,19.99,2022-01-27,14:50,internetu,5
5,122.95,Aldona Aldonaitė,Švenčionys,pristatytas,0.00,2020-01-30,13:21,internetu,5
3,35.97,Giedrė Giedrytė,Kretinga,atšauktas,2.99,2021-03-22,10:4,internetu,5
1,49.99,Jolanta Jolantaitė,Kazlų Rūda,pristatytas,0.00,2022-02-19,10:12,parduotuvėje,3
3,67.97,Aurimas Aurimaitė,Zarasai,atšauktas,19.99,2015-07-11,15:51,internetu,4
3,104.97,Gintarė Gintarytė,Kaišiadorys,pristatytas,4.99,2022-11-26,8:5,internetu,3
3,67.97,Ona Onaitė,Zarasai,pristatytas,4.99,2020-12-16,10:19,internetu,5
4,92.96,Asta Astaitė,Šilutė,pristatytas,2.99,2017-11-29,9:1,internetu,4
3,29.97,Gintautas Gintautas,Rokiškis,pristatytas,19.99,2024-03-30,9:23,internetu,5
1,14.99,Vitalijus Vitkus,Zarasai,pristatytas,2.99,2023-10-21,11:36,internetu,5
1,14.99,Giedrius Giedraitis,Trakai,pristatytas,2.99,2021-10-24,11:22,parduotuvėje,1
2,44.98,Jolanta Jolantaitė,Kybartai,naujas,4.99,2019-09-26,15:34,internetu,4
2,59.98,Vilma Vilmaitė,Kėdainiai,pristatytas,2.99,2023-10-26,11:7,internetu,2
1,7.99,Antanas Antanaitis,Varėna,atšauktas,9.99,2021-02-24,13:49,internetu,5
1,7.99,Ona Onaitė,Jonava,naujas,2.99,2019-07-01,14:30,internetu,5
5,249.95,Dalia Dalinskaitė,Kupiškis,pristatytas,2.99,2016-10-27,13:26,parduotuvėje,5
2,39.98,Aurimas Aurimaitė,Palanga,išsiųstas,9.99,2022-01-18,15:40,internetu,4
5,38.95,Jolanta Jolantaitė,Grigiškės,naujas,2.99,2023-03-24,10:16,internetu,5
2,35.98,Gintautas Gintautas,Kaišiadorys,pristatytas,9.99,2018-06-02,13:15,parduotuvėje,2
3,44.97,Marius Marius,Šilutė,pristatytas,2.99,2016-06-16,13:50,internetu,1
4,57.96,Aurimas Aurimaitė,Švenčionys,pristatytas,2.99,2024-02-26,10:34,parduotuvėje,5
1,7.99,Aidas Aidaitis,Panevėžys,naujas,2.99,2017-07-05,11:3,internetu,3
1,5.99,Aurimas Aurimaitė,Kėdainiai,pristatytas,2.99,2023-12-10,9:30,internetu,5
4,37.96,Inga Ingaitė,Zarasai,naujas,19.99,2023-11-24,11:23,internetu,5
4,39.96,Vaidas Vaidas,Visaginas,pristatytas,19.99,2018-03-15,12:7,internetu,5
5,139.95,Rimantas Rimantėlis,Palanga,pristatytas,19.99,2018-08-02,15:35,parduotuvėje,3
4,39.96,Rasa Rasaitė,Trakai,pristatytas,9.99,2015-12-31,9:27,internetu,2
1,14.99,Vytautas Vytenis,Marijampolė,atšauktas,4.99,2015-06-08,11:25,internetu,4
3,114.97,Vilma Vilmaitė,Visaginas,pristatytas,4.99,2016-04-18,13:56,parduotuvėje,2
3,43.97,Aldona Aldonaitė,Zarasai,pristatytas,2.99,2016-01-01,8:38,parduotuvėje,5
2,57.98,Gintaras Gintaraitis,Kaišiadorys,pristatytas,0.00,2019-11-15,11:42,internetu,2
2,35.98,Ona Onaitė,Neringa,pristatytas,19.99,2020-09-23,9:2,internetu,4
7,105.93,Aurimas Aurimaitė,Šiauliai,patvirtintas,19.99,2017-02-24,8:53,internetu,3
6,155.94,Dalia Dalinskaitė,Vilnius,pristatytas,2.99,2018-08-21,8:0,internetu,4
4,71.96,Jurgis Jurgis,Joniškis,išsiųstas,19.99,2021-02-28,12:34,internetu,4
1,9.99,Aldona Aldonaitė,Kazlų Rūda,pristatytas,2.99,2016-07-23,8:42,parduotuvėje,4
2,19.98,Vaidas Vaidas,Šilutė,pristatytas,2.99,2021-03-14,10:5,parduotuvėje,4
2,59.98,Aurimas Aurimaitė,Grigiškės,išsiųstas,19.99,2020-10-12,9:7,internetu,3
2,19.98,Gintarė Gintarytė,Kretinga,pristatytas,2.99,2019-04-16,14:0,internetu,3
5,67.95,Rasa Rasaitė,Visaginas,pristatytas,19.99,2016-10-29,13:30,internetu,5
4,122.96,Gintaras Gintaraitis,Alytus,pristatytas,4.99,2020-07-25,11:10,parduotuvėje,5
2,15.98,Elžbieta Elžbietaitė,Zarasai,pristatytas,2.99,2021-02-28,13:53,internetu,3
1,7.99,Giedrė Giedrytė,Jonava,išsiųstas,2.99,2015-12-22,9:35,parduotuvėje,5
4,42.96,Gintarė Gintarytė,Pakruojis,pristatytas,9.99,2022-03-14,9:27,parduotuvėje,5
1,29.99,Jolanta Jolantaitė,Pabradė,pristatytas,19.99,2024-06-08,11:25,internetu,3
4,92.96,Aldona Aldonaitė,Zarasai,atšauktas,9.99,2022-08-15,14:31,internetu,5
2,19.98,Petras Petraitis,Varėna,naujas,4.99,2020-05-27,9:18,internetu,5
2,34.98,Vilma Vilmaitė,Klaipėda,pristatytas,0.00,2023-10-28,8:29,parduotuvėje,5
4,77.96,Aurimas Aurimaitė,Švenčionys,pristatytas,19.99,2021-10-03,10:12,internetu,5
3,30.97,Aurimas Aurimaitė,Pakruojis,pristatytas,9.99,2019-08-14,10:28,internetu,5
1,29.99,Vaida Vaidaitė,Jonava,pristatytas,2.99,2023-08-11,8:49,internetu,5
2,35.98,Aurimas Aurimaitė,Visaginas,išsiųstas,9.99,2020-05-24,9:52,internetu,5
6,219.94,Aldona Aldonaitė,Šiauliai,pristatytas,2.99,2023-06-19,10:49,internetu,4
3,60.97,Aurimas Aurimaitė,Telšiai,pristatytas,2.99,2019-01-18,14:45,internetu,5
